 number  2Theta(deg.)             d(Å)           Q(Å-1)   sin_Th/l (A-1)        1/d (A-1)        wave
 216         63.71665          1.45936          4.30544          0.34262          0.68523          1.54056
 217         63.71765          1.45934          4.30550          0.34262          0.68524          1.54056
 218         63.84495          1.46036          4.30250          0.34238          0.68476          1.54439
 219         63.89375          1.45936          4.30544          0.34262          0.68523          1.54439
 220         63.89475          1.45934          4.30550          0.34262          0.68524          1.54439
 221         63.99495          1.45368          4.32225          0.34395          0.68791          1.54056
 222         64.10405          1.45147          4.32884          0.34448          0.68896          1.54056
 223         64.17305          1.45368          4.32226          0.34395          0.68791          1.54439
 224         64.28245          1.45147          4.32883          0.34448          0.68896          1.54439
 225         64.35405          1.44643          4.34391          0.34568          0.69135          1.54056
 226         64.53335          1.44644          4.34391          0.34568          0.69135          1.54439
 227         64.76465          1.43825          4.36862          0.34764          0.69529          1.54056
 228         64.81335          1.43729          4.37155          0.34788          0.69575          1.54056
 229         64.94545          1.43825          4.36862          0.34764          0.69529          1.54439
 230         64.97835          1.43404          4.38146          0.34867          0.69733          1.54056
 231         64.99435          1.43729          4.37155          0.34788          0.69575          1.54439
 232         65.15985          1.43404          4.38146          0.34867          0.69733          1.54439
 233         65.43495          1.42513          4.40884          0.35084          0.70169          1.54056
 234         65.54145          1.42307          4.41522          0.35135          0.70270          1.54056
 235         65.61805          1.42513          4.40884          0.35084          0.70169          1.54439
 236         65.65205          1.42094          4.42184          0.35188          0.70376          1.54056
 237         65.72495          1.42307          4.41522          0.35135          0.70270          1.54439
 238         65.82815          1.41757          4.43236          0.35272          0.70543          1.54056
 239         65.83595          1.42094          4.42184          0.35188          0.70376          1.54439
 240         66.01265          1.41757          4.43236          0.35272          0.70543          1.54439
 241         66.52875          1.40433          4.47415          0.35604          0.71208          1.54056
 242         66.66845          1.40173          4.48246          0.35670          0.71341          1.54056
 243         66.71575          1.40433          4.47415          0.35604          0.71208          1.54439
 244         66.85595          1.40173          4.48246          0.35670          0.71341          1.54439
 245         67.42015          1.38792          4.52707          0.36025          0.72051          1.54056
 246         67.61035          1.38791          4.52707          0.36025          0.72051          1.54439
 247         67.79135          1.38122          4.54902          0.36200          0.72400          1.54056
 248         67.94035          1.37855          4.55782          0.36270          0.72540          1.54056
 249         67.98285          1.38122          4.54902          0.36200          0.72400          1.54439
 250         68.01235          1.37727          4.56207          0.36304          0.72608          1.54056
 251         68.13235          1.37855          4.55782          0.36270          0.72540          1.54439
 252         68.20465          1.37727          4.56207          0.36304          0.72608          1.54439
 253         68.59015          1.36707          4.59611          0.36575          0.73149          1.54056
 254         68.78455          1.36707          4.59611          0.36575          0.73149          1.54439
 255         69.07405          1.35867          4.62453          0.36801          0.73602          1.54056
 256         69.27025          1.35867          4.62453          0.36801          0.73602          1.54439
 257         69.28105          1.35511          4.63666          0.36897          0.73795          1.54056
 258         69.36685          1.35364          4.64168          0.36937          0.73875          1.54056
 259         69.39325          1.35319          4.64323          0.36950          0.73899          1.54056
 260         69.47545          1.35179          4.64804          0.36988          0.73976          1.54056
 261         69.47795          1.35511          4.63665          0.36897          0.73795          1.54439
 262         69.56405          1.35365          4.64168          0.36937          0.73875          1.54439
 263         69.59055          1.35319          4.64322          0.36950          0.73899          1.54439
 264         69.67305          1.35179          4.64803          0.36988          0.73976          1.54439
 265         69.69915          1.34800          4.66111          0.37092          0.74184          1.54056
 266         69.87195          1.34509          4.67120          0.37172          0.74344          1.54056
 267         69.89765          1.34800          4.66111          0.37092          0.74184          1.54439
 268         69.91685          1.34434          4.67382          0.37193          0.74386          1.54056
 269         69.95575          1.34368          4.67609          0.37211          0.74422          1.54056
 270         70.07105          1.34509          4.67120          0.37172          0.74344          1.54439
 271         70.11615          1.34434          4.67382          0.37193          0.74386          1.54439
 272         70.15515          1.34368          4.67609          0.37211          0.74422          1.54439
 273         70.28905          1.33813          4.69551          0.37366          0.74731          1.54056
 274         70.48965          1.33813          4.69551          0.37366          0.74731          1.54439
 275         70.65505          1.33209          4.71679          0.37535          0.75070          1.54056
